timestamp,open,high,low,close,volume
2026-03-10T12:07:00Z,70496.85,70499.8,70414.88,70449.54,17.62030731
2026-03-10T12:08:00Z,70449.54,70462.93,70414.02,70436.34,15.78616987
2026-03-10T12:09:00Z,70436.33,70441.49,70383.72,70407.77,7.69147405
2026-03-10T12:10:00Z,70407.77,70438.88,70391.99,70433.65,13.47888959
2026-03-10T12:11:00Z,70433.65,70476.96,70365.31,70399.98,11.41108916
2026-03-10T12:12:00Z,70399.98,70436.34,70399.98,70432.23,13.61005741
2026-03-10T12:13:00Z,70432.23,70494.02,70417.62,70486.05,15.4631982
2026-03-10T12:14:00Z,70486.04,70486.04,70417.1,70436.33,5.6268548
2026-03-10T12:15:00Z,70436.33,70478,70436.32,70453.1,16.42801478
2026-03-10T12:16:00Z,70453.1,70467.01,70427.97,70427.98,4.80970397
2026-03-10T12:17:00Z,70427.97,70452.87,70400.07,70427.97,6.81952789
2026-03-10T12:18:00Z,70427.97,70464.59,70419.61,70461.69,5.26727014
2026-03-10T12:19:00Z,70461.68,70490.73,70455.46,70476.64,6.37129029
2026-03-10T12:20:00Z,70476.64,70528,70476.63,70518.65,3.82146899
2026-03-10T12:21:00Z,70518.65,70526.18,70477.34,70526.17,5.97522647
2026-03-10T12:22:00Z,70526.18,70563.91,70503.3,70561.89,4.96705196
2026-03-10T12:23:00Z,70561.88,70585.72,70525.61,70536.14,12.96411057
2026-03-10T12:24:00Z,70536.14,70536.14,70472.81,70478,3.08764124
2026-03-10T12:25:00Z,70472.85,70494.61,70450.29,70481.71,5.6483981
2026-03-10T12:26:00Z,70481.71,70495.03,70455,70479.37,7.76594555
2026-03-10T12:27:00Z,70479.38,70494,70467.04,70468.22,4.75451485
2026-03-10T12:28:00Z,70467.2,70469.99,70386.01,70430.77,5.53523101
2026-03-10T12:29:00Z,70430.76,70430.76,70361.96,70400.48,10.01629766
2026-03-10T12:30:00Z,70400.98,70409.99,70305.84,70327.52,13.75131367
2026-03-10T12:31:00Z,70327.52,70388,70327.51,70347.63,7.1097672
2026-03-10T12:32:00Z,70347.63,70391.1,70347.63,70384.34,8.19748663
2026-03-10T12:33:00Z,70384.33,70419.14,70371,70403.62,6.68620596
2026-03-10T12:34:00Z,70404.84,70421.38,70396.99,70412.01,5.53067516
