timestamp,open,high,low,close,volume
2026-03-12T08:58:00Z,69856.01,69856.84,69830.32,69838.32,0.82201458
2026-03-12T08:59:00Z,69838.32,69928.74,69826.13,69915.45,4.22458521
2026-03-12T09:00:00Z,69915.45,69928.74,69830.33,69830.33,4.31426
2026-03-12T09:01:00Z,69830.33,69851.6,69828,69838.32,1.13234697
2026-03-12T09:02:00Z,69838.32,69871.24,69838.32,69851.1,1.46653851
2026-03-12T09:03:00Z,69848.94,69894.16,69846.28,69886.19,0.90680586
2026-03-12T09:04:00Z,69886.18,69898,69878.2,69896.38,0.44210584
2026-03-12T09:05:00Z,69897.26,69897.26,69867.56,69867.56,0.73139671
2026-03-12T09:06:00Z,69864.9,69864.9,69819.68,69819.69,2.13840137
2026-03-12T09:07:00Z,69819.69,69859.41,69819.68,69852.61,3.12583889
2026-03-12T09:08:00Z,69852.62,69860.5,69825,69825.02,0.48008543
2026-03-12T09:09:00Z,69825.01,69825.02,69798,69804.96,1.03883665
2026-03-12T09:10:00Z,69804.96,69834.99,69787.77,69787.77,1.38751974
2026-03-12T09:11:00Z,69787.76,69793.08,69782.44,69782.45,0.41083711
2026-03-12T09:12:00Z,69782.45,69784.13,69753.18,69753.19,1.49311135
2026-03-12T09:13:00Z,69753.19,69756.39,69739.89,69749.57,0.71852075
2026-03-12T09:14:00Z,69749.56,69794.29,69697,69787.5,4.81182089
2026-03-12T09:15:00Z,69785.06,69785.06,69650.13,69686.67,14.8322152
2026-03-12T09:16:00Z,69686.67,69703.18,69611.11,69643.97,8.95247647
2026-03-12T09:17:00Z,69643.97,69681.36,69630.07,69660.08,3.73128842
2026-03-12T09:18:00Z,69660.08,69673.18,69638.8,69646.78,1.17186628
2026-03-12T09:19:00Z,69646.78,69660.08,69644.13,69644.13,0.86530712
2026-03-12T09:20:00Z,69644.13,69650.01,69588.27,69592.1,2.01579218
2026-03-12T09:21:00Z,69592.1,69670.72,69588.26,69648.14,7.82345775
2026-03-12T09:22:00Z,69648.14,69662.73,69620,69627.98,2.99911607
2026-03-12T09:23:00Z,69627.99,69670.12,69595.01,69670.12,1.8252985
2026-03-12T09:24:00Z,69670.14,69686.24,69660.08,69681.36,2.1193413
2026-03-12T09:25:00Z,69681.35,69743.36,69681.35,69721.86,2.18879926
2026-03-12T09:26:00Z,69722.49,69743.4,69710.62,69710.81,2.05410631
2026-03-12T09:27:00Z,69710.81,69726.57,69665.4,69711.09,3.82666209
2026-03-12T09:28:00Z,69711.09,69758.47,69710.62,69758.47,1.69639787
2026-03-12T09:29:00Z,69758.47,69763.8,69678.05,69689.77,4.78091116
2026-03-12T09:30:00Z,69691.46,69776,69691.46,69741.88,10.65695168
2026-03-12T09:31:00Z,69742.54,69832.98,69734.57,69830.33,10.63507647
2026-03-12T09:32:00Z,69830.33,69845.01,69803.61,69835.44,3.16621735
2026-03-12T09:33:00Z,69835.44,69835.44,69782.44,69796,2.3050248
2026-03-12T09:34:00Z,69796,69796,69777.81,69785.11,2.1928881
2026-03-12T09:35:00Z,69785.1,69814,69777.12,69782.45,1.51476906
2026-03-12T09:36:00Z,69782.45,69806.37,69782.44,69804,0.73305099
2026-03-12T09:37:00Z,69806.37,69827.66,69805.28,69822.01,0.83619726
2026-03-12T09:38:00Z,69822.01,69865,69814.36,69852.01,3.28621153
2026-03-12T09:39:00Z,69852.01,69875.54,69852,69871.26,2.25893732
2026-03-12T09:40:00Z,69871.27,69915.43,69871.26,69906.99,1.71916686
2026-03-12T09:41:00Z,69904.31,69973.96,69903.9,69960.65,2.09340189
2026-03-12T09:42:00Z,69960.65,70029.7,69958,70021.84,3.30594928
2026-03-12T09:43:00Z,70024.5,70083.02,70018.74,70066.47,2.38441129
2026-03-12T09:44:00Z,70066.46,70335.17,70066,70280,9.42799165
2026-03-12T09:45:00Z,70279.86,70398.02,70274.55,70295.83,9.89453649
2026-03-12T09:46:00Z,70295.82,70295.82,70134.09,70154.98,7.02380769
2026-03-12T09:47:00Z,70154.97,70174.95,69874.8,69926.08,27.04428751
2026-03-12T09:48:00Z,69926.08,69980.91,69862.24,69939.38,1.45233582
2026-03-12T09:49:00Z,69939.39,69993.5,69931.4,69952.67,3.42207817
2026-03-12T09:50:00Z,69952.67,69971,69942.04,69965.98,1.21499416
2026-03-12T09:51:00Z,69965.98,69984.34,69963.75,69978.39,1.13503531
2026-03-12T09:52:00Z,69978.39,70005.88,69952.69,69954.98,2.95958174
2026-03-12T09:53:00Z,69954.99,70014.48,69954.99,69987.37,2.31830904
2026-03-12T09:54:00Z,69989.49,70003.21,69965.98,69979.28,1.1040158
2026-03-12T09:55:00Z,69979.28,69984.6,69958,69963.33,4.77218423
2026-03-12T09:56:00Z,69965.48,69979.96,69949,69955.34,3.36075896
2026-03-12T09:57:00Z,69955.34,69980,69952.88,69976.17,0.49519099
2026-03-12T09:58:00Z,69976.17,69984.59,69955.35,69974.41,3.35787343
2026-03-12T09:59:00Z,69974.41,70000.55,69958.01,69958.02,3.05376713
2026-03-12T10:00:00Z,69958.02,70069.99,69958.02,70064.4,17.77485132
2026-03-12T10:01:00Z,70064.39,70067.05,69995.24,69999.57,3.23280896
2026-03-12T10:02:00Z,69996.68,70024.5,69987.27,69995.25,2.42801328
2026-03-12T10:03:00Z,69995.25,70008.54,69984.6,70005.65,1.79308884
2026-03-12T10:04:00Z,70005.66,70005.66,69979.29,69986.61,1.67476758
